1140;4.70E-02;3.60E-05;4.90E-03;3.00E-06;;1140;4.70E-26;3.60E-29;4.90E-27;3.00E-30
1144;4.20E-02;2.80E-05;4.40E-03;2.40E-06;;1144;4.20E-26;2.80E-29;4.40E-27;2.40E-30
1148;3.50E-02;2.00E-05;4.20E-03;2.00E-06;;1148;3.50E-26;2.00E-29;4.20E-27;2.00E-30
1152;3.10E-02;1.60E-05;4.10E-03;1.70E-06;;1152;3.10E-26;1.60E-29;4.10E-27;1.70E-30
1156;2.70E-02;1.10E-05;3.90E-03;1.30E-06;;1156;2.70E-26;1.10E-29;3.90E-27;1.30E-30
1160;2.30E-02;8.60E-06;3.60E-03;1.10E-06;;1160;2.30E-26;8.60E-30;3.60E-27;1.10E-30
1164;2.10E-02;6.80E-06;3.50E-03;9.10E-07;;1164;2.10E-26;6.80E-30;3.50E-27;9.10E-31
1168;1.80E-02;4.90E-06;3.30E-03;7.50E-07;;1168;1.80E-26;4.90E-30;3.30E-27;7.50E-31
1172;1.40E-02;3.50E-06;3.00E-03;5.90E-07;;1172;1.40E-26;3.50E-30;3.00E-27;5.90E-31
1176;1.40E-02;3.10E-06;2.70E-03;4.60E-07;;1176;1.40E-26;3.10E-30;2.70E-27;4.60E-31
1180;1.20E-02;2.20E-06;2.60E-03;3.90E-07;;1180;1.20E-26;2.20E-30;2.60E-27;3.90E-31
